"队列","主机组","主机总Slot","主机总内存","队列最大Slot","运行中Slot","等待中Slot","Slot利用率","作业最大内存","最大可用内存","可用内存利用率","实际内存利用率","已使用内存","已请求内存","请求内存使用率","Slot平均使用内存","主机内存占比"
ad,"middle_end_small_hosts/, middle_end_middle_hosts/, middle_end_large_hosts/",8662,107 TiB,8662,816,0,9%,-,4 TiB,11.9%,4.29%,176 GiB,489 GiB,36%,220 MiB,0%
cluster,hse_front_end_hosts/,15438,183 TiB,500,409,5,82%,200 GiB,-,-,-,153 GiB,837 GiB,18%,383 MiB,0%
cluster_debug,hse_front_end_hosts/,15438,183 TiB,64,30,0,47%,200 GiB,-,-,-,73.8 GiB,354 GiB,21%,2.46 GiB,0%
cmndv_debug,hse_front_end_hosts/,15438,183 TiB,100,14,0,14%,-,-,-,-,10.5 GiB,33.3 GiB,32%,771 MiB,0%
cmndv_perf,hse_front_end_hosts/,15438,183 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
cmndv_regr,hse_front_end_hosts/,15438,183 TiB,200,7,0,4%,-,-,-,-,10.4 GiB,59.6 GiB,17%,1.49 GiB,0%
dft_atpg,"middle_end_small_hosts/, middle_end_middle_hosts/, middle_end_large_hosts/",8662,107 TiB,8662,206,0,2%,-,4 TiB,54.0%,15.8%,649 GiB,2.16 TiB,29%,3.15 GiB,1%
dft_atpg_heavy,"middle_end_small_hosts/, middle_end_middle_hosts/, middle_end_large_hosts/",8662,107 TiB,8662,119,0,1%,-,27.5 TiB,42.7%,32.3%,8.89 TiB,11.8 TiB,76%,76.5 GiB,8%
dft_middle,"middle_end_small_hosts/, middle_end_middle_hosts/, middle_end_large_hosts/",8662,107 TiB,8662,200,0,2%,-,8 TiB,59.6%,16.7%,1.33 TiB,4.77 TiB,28%,6.82 GiB,1%
dte,hse_front_end_hosts/,15438,183 TiB,50,50,119,100%,-,-,-,-,127 GiB,78.3 GiB,162%,2.54 GiB,0%
dte_regr,hse_front_end_hosts/,15438,183 TiB,200,9,0,5%,-,-,-,-,4.84 GiB,91.1 GiB,5%,551 MiB,0%
dvm,hse_lab_hosts/,198,1.51 TiB,2000,2,0,0%,-,-,-,-,95 MiB,2 GiB,5%,47.5 MiB,0%
eelip,eelip_hosts/,288,1.48 TiB,288,66,0,23%,-,-,-,-,7.97 GiB,32.2 GiB,25%,124 MiB,1%
ef_spt,"middle_end_small_hosts/, middle_end_middle_hosts/, middle_end_large_hosts/",8662,107 TiB,4500,135,0,3%,-,50 TiB,7.84%,2.69%,1.34 TiB,3.87 TiB,35%,10.2 GiB,1%
efic_debug,hse_front_end_hosts/,15438,183 TiB,90,66,0,73%,-,-,-,-,137 GiB,915 GiB,15%,2.07 GiB,0%
efic_perf,hse_front_end_hosts/,15438,183 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
efic_regr,hse_front_end_hosts/,15438,183 TiB,200,91,0,46%,-,-,-,-,451 GiB,632 GiB,71%,4.95 GiB,0%
efic_top,hse_front_end_hosts/,15438,183 TiB,5,5,0,100%,-,-,-,-,26.9 GiB,75.2 GiB,36%,5.37 GiB,0%
felarge,"middle_end_small_hosts/, middle_end_middle_hosts/, middle_end_large_hosts/",8662,107 TiB,8662,147,0,2%,-,8 TiB,60.6%,30.3%,2.42 TiB,4.28 TiB,57%,16.9 GiB,2%
fesyn,middle_end_8_hosts/,712,10.3 TiB,712,356,0,50%,-,11 TiB,61.3%,32.5%,3.58 TiB,6.74 TiB,53%,10.3 GiB,35%
hfs,hse_hfs_hosts/,30,251 GiB,30,6,0,20%,-,-,-,-,11.5 GiB,33.3 GiB,34%,1.91 GiB,5%
hseapp,hse_front_end_hosts/,15438,183 TiB,100,1,0,1%,-,-,-,-,348 MiB,1000 MiB,35%,348 MiB,0%
impl_ip,hse_impl_ip_hosts/,124,2.21 TiB,128,27,0,21%,-,-,-,-,404 GiB,1.16 TiB,34%,15.0 GiB,18%
impl_ip_dev,hse_front_end_hosts/,15438,183 TiB,100,12,0,12%,-,-,-,-,7.97 GiB,1010 GiB,1%,680 MiB,0%
it_test,it_test_hosts/,136,755 GiB,136,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
it_test2,it_test2_hosts/,72,755 GiB,72,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
it_test3,it_test3_hosts/,64,0 B,64,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
mc_dbg,hse_front_end_hosts/,15438,183 TiB,100,45,0,45%,-,-,-,-,83.8 GiB,331 GiB,25%,1.86 GiB,0%
mc_perf,hse_front_end_hosts/,15438,183 TiB,1,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
mc_regr,hse_front_end_hosts/,15438,183 TiB,300,40,0,13%,-,-,-,-,101 GiB,919 GiB,11%,2.52 GiB,0%
mmu,hse_front_end_hosts/,15438,183 TiB,50,25,0,50%,-,-,-,-,20.4 GiB,33.7 GiB,60%,835 MiB,0%
mmu_regr,hse_front_end_hosts/,15438,183 TiB,200,12,0,6%,-,-,-,-,12.5 GiB,53.1 GiB,24%,1.04 GiB,0%
noc_hf,hse_noc_hf_hosts/,32,187 GiB,32,2,0,6%,-,-,-,-,1.05 GiB,9.86 GiB,11%,536 MiB,1%
pdfct,pdfct_hosts/,2158,29.5 TiB,2158,196,0,9%,-,-,-,-,2.51 TiB,4.22 TiB,59%,13.1 GiB,9%
pdmid,"back_end_small_hosts/, back_end_middle_hosts/",488,5.16 TiB,488,116,0,24%,-,5 TiB,36.3%,8.02%,411 GiB,1.82 TiB,22%,3.54 GiB,8%
pdpv,pdpv_hosts/,1742,34.4 TiB,1742,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
pdpwr,pdpwr_hosts/,2592,31.0 TiB,2592,1216,0,47%,-,-,-,-,390 GiB,24.5 TiB,2%,328 MiB,1%
pdshort,"back_end_small_hosts/, back_end_middle_hosts/",488,5.16 TiB,488,12,0,2%,-,5 TiB,9.31%,0.921%,47.1 GiB,477 GiB,10%,3.93 GiB,1%
pdxlarge,pdxlarge_hosts/,1440,15.7 TiB,1440,526,0,37%,-,-,-,-,1.62 TiB,4.75 TiB,34%,3.15 GiB,10%
perf_debug,hse_front_end_hosts/,15438,183 TiB,64,9,0,14%,-,-,-,-,230 GiB,371 GiB,62%,25.5 GiB,0%
perf_long,hse_front_end_hosts/,15438,183 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
perf_regr,hse_front_end_hosts/,15438,183 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
proc_de,hse_front_end_hosts/,15438,183 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
proc_debug,hse_front_end_hosts/,15438,183 TiB,300,78,0,26%,-,-,-,-,136 GiB,416 GiB,33%,1.74 GiB,0%
proc_long,hse_front_end_hosts/,15438,183 TiB,0,1,0,0%,-,-,-,-,126 MiB,1.95 GiB,6%,126 MiB,0%
proc_regr,hse_front_end_hosts/,15438,183 TiB,600,242,0,40%,-,-,-,-,1.40 TiB,891 GiB,161%,5.91 GiB,1%
sip,hse_front_end_hosts/,15438,183 TiB,200,33,0,17%,-,-,-,-,51.3 GiB,174 GiB,30%,1.55 GiB,0%
sip_pd,hse_front_end_hosts/,15438,183 TiB,256,53,0,21%,-,-,-,-,232 GiB,707 GiB,33%,4.37 GiB,0%
sipas2,hse_front_end_hosts/,15438,183 TiB,100,6,0,6%,-,-,-,-,11.4 GiB,47.4 GiB,24%,1.89 GiB,0%
sipdv,hse_front_end_hosts/,15438,183 TiB,300,48,0,16%,-,-,-,-,223 GiB,184 GiB,121%,4.64 GiB,0%
sipdvbuild,hse_front_end_hosts/,15438,183 TiB,50,22,0,44%,-,-,-,-,12.6 GiB,152 GiB,8%,586 MiB,0%
sipdvcompute,hse_front_end_hosts/,15438,183 TiB,0,1,0,0%,-,-,-,-,873 MiB,2 GiB,43%,873 MiB,0%
sipdvcore,hse_front_end_hosts/,15438,183 TiB,0,4,0,0%,-,-,-,-,27.7 GiB,44 GiB,63%,6.92 GiB,0%
sipdvdpv,hse_front_end_hosts/,15438,183 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
sipdvife,hse_front_end_hosts/,15438,183 TiB,0,0,6,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
sipdvl1,hse_front_end_hosts/,15438,183 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
sipdvperf,hse_front_end_hosts/,15438,183 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
sipdvspc,hse_front_end_hosts/,15438,183 TiB,0,5,0,0%,-,-,-,-,6.20 GiB,25.8 GiB,24%,1.24 GiB,0%
sipi,"middle_end_small_hosts/, middle_end_middle_hosts/, middle_end_large_hosts/",8662,107 TiB,8662,92,0,1%,-,3 TiB,67.8%,3.84%,118 GiB,1.95 TiB,6%,1.28 GiB,0%
socde,hse_front_end_hosts/,15438,183 TiB,100,26,0,26%,-,-,-,-,75.8 GiB,69.5 GiB,109%,2.92 GiB,0%
socdv_debug,hse_front_end_hosts/,15438,183 TiB,100,34,0,34%,-,-,-,-,344 GiB,862 GiB,40%,10.1 GiB,0%
socdv_regr,hse_front_end_hosts/,15438,183 TiB,100,1,0,1%,-,-,-,-,12 MiB,19.5 GiB,0%,12 MiB,0%
spt_local,spt_local_hosts/,738,11.1 TiB,738,1,0,0%,-,-,-,-,32.4 GiB,20 MiB,165888%,32.4 GiB,0%
spt_test,uvhs15,70,756 GiB,3500,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
sysdv_debug,hse_front_end_hosts/,15438,183 TiB,100,2,0,2%,-,-,-,-,7.21 GiB,7.81 GiB,92%,3.60 GiB,0%
sysdv_long,hse_front_end_hosts/,15438,183 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
sysdv_regr,hse_front_end_hosts/,15438,183 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
sysipdv_debug,hse_front_end_hosts/,15438,183 TiB,80,17,0,21%,-,-,-,-,23.3 GiB,169 GiB,14%,1.37 GiB,0%
sysipdv_regr,hse_front_end_hosts/,15438,183 TiB,120,10,0,8%,-,-,-,-,20.4 GiB,69.3 GiB,29%,2.04 GiB,0%

