"队列","主机组","主机总Slot","主机总内存","队列最大Slot","运行中Slot","等待中Slot","Slot利用率","作业最大内存","最大可用内存","可用内存利用率","实际内存利用率","已使用内存","已请求内存","请求内存使用率","Slot平均使用内存","主机内存占比"
perf_long,hse_front_end_hosts/,15438,181 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
perf_regr,hse_front_end_hosts/,15438,181 TiB,50,1,0,2%,-,-,-,-,14 GiB,14.6 GiB,96%,14 GiB,0%
proc_de,hse_front_end_hosts/,15438,181 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
proc_debug,hse_front_end_hosts/,15438,181 TiB,300,37,0,12%,-,-,-,-,93.2 GiB,282 GiB,33%,2.52 GiB,0%
proc_long,hse_front_end_hosts/,15438,181 TiB,0,1,0,0%,-,-,-,-,126 MiB,1.95 GiB,6%,126 MiB,0%
proc_regr,hse_front_end_hosts/,15438,181 TiB,600,48,0,8%,-,-,-,-,281 GiB,116 GiB,242%,5.85 GiB,0%
sip,hse_front_end_hosts/,15438,181 TiB,200,34,0,17%,-,-,-,-,50.9 GiB,180 GiB,28%,1.50 GiB,0%
sip_pd,hse_front_end_hosts/,15438,181 TiB,256,40,0,16%,-,-,-,-,163 GiB,475 GiB,34%,4.08 GiB,0%
sipas2,hse_front_end_hosts/,15438,181 TiB,400,4,0,1%,-,-,-,-,9.42 GiB,23.4 GiB,40%,2.35 GiB,0%
sipdv,hse_front_end_hosts/,15438,181 TiB,300,29,0,10%,-,-,-,-,39.5 GiB,129 GiB,31%,1.36 GiB,0%
sipdvbuild,hse_front_end_hosts/,15438,181 TiB,300,30,0,10%,-,-,-,-,42.3 GiB,400 GiB,11%,1.41 GiB,0%
sipdvcompute,hse_front_end_hosts/,15438,181 TiB,200,1,0,1%,-,-,-,-,873 MiB,2 GiB,43%,873 MiB,0%
sipdvcore,hse_front_end_hosts/,15438,181 TiB,1500,799,0,53%,-,-,-,-,5.59 TiB,9.27 TiB,60%,7.17 GiB,3%
sipdvdpv,hse_front_end_hosts/,15438,181 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
sipdvife,hse_front_end_hosts/,15438,181 TiB,500,22,0,4%,-,-,-,-,72.1 GiB,88 GiB,82%,3.28 GiB,0%
sipdvl1,hse_front_end_hosts/,15438,181 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
sipdvperf,hse_front_end_hosts/,15438,181 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
sipdvspc,hse_front_end_hosts/,15438,181 TiB,300,5,0,2%,-,-,-,-,6.20 GiB,25.8 GiB,24%,1.24 GiB,0%
sipi,"middle_end_small_hosts/, middle_end_middle_hosts/, middle_end_large_hosts/",8662,107 TiB,8662,92,0,1%,-,3 TiB,63.8%,0.652%,20.0 GiB,1.82 TiB,1%,223 MiB,0%
socde,hse_front_end_hosts/,15438,181 TiB,100,20,0,20%,-,-,-,-,67.1 GiB,55.2 GiB,122%,3.36 GiB,0%
socdv_debug,hse_front_end_hosts/,15438,181 TiB,100,31,0,31%,-,-,-,-,334 GiB,739 GiB,45%,10.8 GiB,0%
socdv_regr,hse_front_end_hosts/,15438,181 TiB,100,2,0,2%,-,-,-,-,12 MiB,79.3 GiB,0%,6 MiB,0%
spt_local,spt_local_hosts/,738,11.1 TiB,738,1,0,0%,-,-,-,-,32.5 GiB,20 MiB,166400%,32.5 GiB,0%
spt_test,uvhs15,70,756 GiB,3500,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
sysdv_debug,hse_front_end_hosts/,15438,181 TiB,100,2,0,2%,-,-,-,-,7.21 GiB,7.81 GiB,92%,3.60 GiB,0%
sysdv_long,hse_front_end_hosts/,15438,181 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
sysdv_regr,hse_front_end_hosts/,15438,181 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
sysipdv_debug,hse_front_end_hosts/,15438,181 TiB,80,18,0,23%,-,-,-,-,25.1 GiB,164 GiB,15%,1.40 GiB,0%
sysipdv_regr,hse_front_end_hosts/,15438,181 TiB,120,23,0,19%,-,-,-,-,50.3 GiB,114 GiB,44%,2.19 GiB,0%

